"K1","ko"
"ko:K00311",""
"ko:K02510","ko01120"
"ko:K01183","ko01100"
"ko:K02275","ko01100"
"ko:K00548","ko04980"
"ko:K01869","ko00970"
"ko:K00973","ko01250"
"ko:K06204","ko02026"
"ko:K02948","ko03010"
"ko:K03723","ko03420"
"ko:K03589","ko04112"
"ko:K01902","ko01200"
"ko:K01961","ko01212"
"ko:K01903","ko01200"
"ko:K03832",""
"ko:K02444",""
"ko:K00290","ko01230"
"ko:K02274","ko01100"
"ko:K03798",""
"ko:K00351",""
"ko:K00253","ko01100"
"ko:K18430","ko01250"
"ko:K17315","ko02010"
"ko:K01613","ko01110"
"ko:K01212","ko00500"
"ko:K03286",""
"ko:K00615","ko01230"
"ko:K01507","ko00190"
"ko:K08884",""
"ko:K05366","ko01501"
"ko:K01491","ko01240"
"ko:K03797",""
"ko:K08688","ko01100"
"ko:K06876",""
"ko:K03924",""
"ko:K13038","ko01240"
"ko:K01895","ko01200"
"ko:K17938",""
"ko:K00613","ko01100"
"ko:K04084",""
"ko:K03336","ko01120"
"ko:K03671","ko05418"
"ko:K14155","ko01230"
"ko:K03519",""
"ko:K01889","ko00970"
"ko:K01256","ko01100"
"ko:K01951","ko01232"
"ko:K06925",""
"ko:K02258","ko04714"
"ko:K03657","ko03430"
"ko:K21307","ko01120"
"ko:K09458","ko01240"
"ko:K01933","ko01110"
"ko:K02660","ko02025"
"ko:K00602","ko01523"
"ko:K04763",""
"ko:K03594","ko00860"
"ko:K09456",""
"ko:K07126",""
"ko:K00265","ko01230"
"ko:K11005",""
"ko:K01880","ko00970"
"ko:K02259","ko04714"
"ko:K01890","ko00970"
"ko:K02054","ko02024"
"ko:K02520",""
"ko:K02838",""
"ko:K02492","ko01240"
"ko:K01424","ko01110"
"ko:K02650","ko02020"
"ko:K12976","ko00540"
"ko:K06901",""
"ko:K01277",""
"ko:K00259","ko01100"
"ko:K09014",""
"ko:K01962","ko01212"
"ko:K06041","ko01250"
"ko:K03545",""
"ko:K07287",""
"ko:K02502","ko01230"
"ko:K03518",""
"ko:K03153","ko01240"
"ko:K07335","ko02010"
"ko:K01657","ko02025"
"ko:K00384","ko00450"
"ko:K01588","ko01110"
"ko:K02028",""
"ko:K06189",""
"ko:K00343","ko01100"
"ko:K02113","ko01100"
"ko:K18979",""
"ko:K00346",""
"ko:K01092","ko04070"
"ko:K00942","ko01232"
"ko:K00208","ko01240"
"ko:K13277",""
"ko:K01638","ko01200"
"ko:K08646",""
"ko:K11991",""
"ko:K00643","ko01240"
"ko:K02446","ko01200"
"ko:K14083","ko01200"
"ko:K03771",""
"ko:K01489","ko01232"
"ko:K03561",""
"ko:K10914","ko05111"
"ko:K01303",""
"ko:K02004",""
"ko:K00329",""
"ko:K03497",""
"ko:K06447","ko01100"
"ko:K03530",""
"ko:K00164","ko01210"
"ko:K01727",""
"ko:K00375",""
"ko:K00549","ko01230"
"ko:K01480","ko01110"
"ko:K07080",""
"ko:K00101","ko01100"
"ko:K07258","ko01100"
"ko:K06169",""
"ko:K01738","ko01230"
"ko:K00831","ko01240"
"ko:K00955","ko01120"
"ko:K04080",""
"ko:K03418","ko01100"
"ko:K01647","ko01230"
"ko:K03569",""
"ko:K00883","ko01100"
"ko:K01681","ko01230"
"ko:K12573","ko03018"
"ko:K18989",""
"ko:K03177",""
"ko:K00261","ko04964"
"ko:K05515","ko01501"
"ko:K01892","ko00970"
"ko:K01669",""
"ko:K20034","ko01100"
"ko:K21395",""
"ko:K03638","ko04122"
"ko:K00860","ko01120"
"ko:K02874","ko03010"
"ko:K01839","ko01100"
"ko:K02357",""
"ko:K02996","ko03010"
"ko:K14446","ko01200"
"ko:K00240","ko01200"
"ko:K07390",""
"ko:K10773","ko03410"
"ko:K02182",""
"ko:K11933",""
"ko:K06142",""
"ko:K00767","ko01240"
"ko:K11085","ko02010"
"ko:K01439","ko01230"
"ko:K03694",""
"ko:K02109","ko01100"
"ko:K02878","ko03010"
"ko:K00001","ko01220"
"ko:K02343","ko03440"
"ko:K00140","ko01200"
"ko:K14160",""
"ko:K07516","ko01212"
"ko:K00658","ko01210"
"ko:K00162","ko05415"
"ko:K07340",""
"ko:K00790","ko01250"
"ko:K00382","ko01240"
"ko:K01733","ko01230"
"ko:K00691","ko01100"
"ko:K03072","ko03070"
"ko:K02890","ko03010"
"ko:K12543",""
"ko:K03787","ko01232"
"ko:K00012","ko01250"
"ko:K09774",""
"ko:K00394","ko01120"
"ko:K02990","ko03010"
"ko:K14540",""
"ko:K06720","ko01120"
"ko:K03076","ko03070"
"ko:K01937","ko01240"
"ko:K03092","ko05111"
"ko:K16091",""
"ko:K04771","ko02020"
"ko:K01887","ko00970"
"ko:K15551","ko02010"
"ko:K00477","ko04146"
"ko:K11069","ko02010"
"ko:K02434","ko01100"
"ko:K03696",""
"ko:K01992",""
"ko:K06958",""
"ko:K02022",""
"ko:K10943","ko05111"
"ko:K22082","ko01120"
"ko:K03979",""
"ko:K01637","ko01200"
"ko:K00059","ko01240"
"ko:K16255","ko01120"
"ko:K01419",""
"ko:K05306","ko01120"
"ko:K02887","ko03010"
"ko:K01751",""
"ko:K02437","ko01200"
"ko:K01845","ko01240"
"ko:K03562",""
"ko:K00928","ko01230"
"ko:K00262","ko01120"
"ko:K00459","ko01100"
"ko:K00348",""
"ko:K03656",""
"ko:K03585","ko01503"
"ko:K03087","ko05111"
"ko:K13735","ko05135"
"ko:K03544","ko04112"
"ko:K02396","ko02040"
"ko:K03111","ko03440"
"ko:K11749","ko04112"
"ko:K04078",""
"ko:K01693","ko01230"
"ko:K02876","ko03010"
"ko:K03060","ko03020"
"ko:K13821","ko01110"
"ko:K00799","ko05418"
"ko:K02031","ko02024"
"ko:K00297","ko01200"
"ko:K02453","ko05111"
"ko:K01782","ko01212"
"ko:K00302","ko01100"
"ko:K00971","ko01250"
"ko:K01079","ko01230"
"ko:K00124","ko01200"
"ko:K01929","ko01502"
"ko:K12340","ko05133"
"ko:K01571","ko01100"
"ko:K00819","ko01110"
"ko:K04565","ko05208"
"ko:K06136",""
"ko:K11529","ko01200"
"ko:K06147",""
"ko:K00616","ko01230"
"ko:K06890",""
"ko:K01414",""
"ko:K01271",""
"ko:K10680","ko01120"
"ko:K01870","ko00970"
