"K1","ko"
"ko:K17760",""
"ko:K13745","ko01120"
"ko:K00097","ko01240"
"ko:K00218","ko01110"
"ko:K03498",""
"ko:K02556","ko02040"
"ko:K03734",""
"ko:K00018","ko01200"
"ko:K06076",""
"ko:K09748",""
"ko:K02835",""
"ko:K00846","ko01120"
"ko:K00912","ko01100"
"ko:K08093","ko01230"
"ko:K02416","ko02040"
"ko:K08714",""
"ko:K07178","ko03008"
"ko:K05801",""
"ko:K13481","ko01232"
"ko:K03151","ko04122"
"ko:K01469","ko01100"
"ko:K10112","ko02010"
"ko:K14266","ko01110"
"ko:K01779","ko01100"
"ko:K11178","ko01232"
"ko:K01810","ko01250"
"ko:K01754","ko01230"
"ko:K02400","ko02040"
"ko:K16363","ko01212"
"ko:K01758","ko01230"
"ko:K11900","ko02025"
"ko:K08484","ko02060"
"ko:K17713",""
"ko:K00236","ko05415"
"ko:K06907",""
"ko:K13876","ko01100"
"ko:K01953","ko01230"
"ko:K01803","ko01230"
"ko:K01755","ko01230"
"ko:K00275","ko01240"
"ko:K01473","ko01100"
"ko:K00963","ko01250"
"ko:K00809",""
"ko:K17828","ko01240"
"ko:K00796","ko01240"
"ko:K02435","ko01100"
"ko:K03588","ko04112"
"ko:K00231","ko01240"
"ko:K01776","ko01100"
"ko:K02456","ko05111"
"ko:K02892","ko03010"
"ko:K00989",""
"ko:K15866","ko01120"
"ko:K01969","ko01100"
"ko:K01750","ko01230"
"ko:K19191","ko01120"
"ko:K01761","ko01100"
"ko:K04786","ko01053"
"ko:K21833","ko01100"
"ko:K03308",""
"ko:K01752","ko01230"
"ko:K01719","ko01240"
"ko:K01584","ko01110"
"ko:K01998","ko02024"
"ko:K18912","ko01100"
"ko:K20036","ko01100"
"ko:K07020",""
"ko:K14742",""
"ko:K00979","ko01250"
"ko:K02132","ko05415"
"ko:K02913","ko03010"
"ko:K09970","ko02010"
"ko:K00560","ko01523"
"ko:K11689","ko02020"
"ko:K00453","ko01240"
"ko:K03218",""
"ko:K00102","ko01100"
"ko:K00681","ko01100"
"ko:K03474","ko01240"
"ko:K01759","ko01100"
"ko:K07236","ko04122"
"ko:K00978","ko01250"
"ko:K00847","ko01250"
"ko:K06178",""
"ko:K02395","ko02040"
"ko:K07712","ko02020"
"ko:K07658","ko02020"
"ko:K01666","ko01220"
"ko:K03500",""
"ko:K10713","ko01200"
"ko:K09902",""
"ko:K06217",""
"ko:K03270","ko01250"
"ko:K22185","ko01100"
"ko:K08305",""
"ko:K03117","ko03070"
"ko:K21309","ko01120"
"ko:K03453",""
"ko:K07303",""
"ko:K01825","ko01212"
"ko:K07023","ko01232"
"ko:K02126","ko05415"
"ko:K10900",""
"ko:K11942",""
"ko:K06902","ko04138"
"ko:K03503",""
"ko:K19745","ko01100"
"ko:K02575","ko00910"
"ko:K02428",""
"ko:K11940",""
"ko:K00481","ko01220"
"ko:K07006",""
"ko:K00625","ko01200"
"ko:K03315",""
"ko:K02348",""
"ko:K03548",""
"ko:K10941","ko05111"
"ko:K01769","ko01100"
"ko:K01928","ko01100"
"ko:K13924","ko02030"
"ko:K17222","ko01120"
"ko:K01799","ko01120"
"ko:K02404",""
"ko:K09883","ko01240"
"ko:K02553",""
"ko:K08738","ko05417"
"ko:K02673",""
"ko:K03885","ko01100"
"ko:K01004","ko01110"
"ko:K00820","ko05415"
"ko:K16969","ko01100"
"ko:K02372","ko01240"
"ko:K22319",""
"ko:K03796",""
"ko:K04066","ko03440"
"ko:K00040","ko01100"
"ko:K10764","ko01100"
"ko:K03591",""
"ko:K18235",""
"ko:K09997","ko02010"
"ko:K00334","ko01100"
"ko:K13634",""
"ko:K17218","ko01120"
"ko:K15256",""
"ko:K09747",""
"ko:K00612",""
"ko:K10805","ko01040"
"ko:K03631",""
"ko:K06929",""
"ko:K12437","ko01110"
"ko:K03417","ko01100"
"ko:K03214",""
"ko:K01589","ko01110"
"ko:K00433",""
"ko:K01408","ko05010"
"ko:K00951","ko01100"
"ko:K04762",""
"ko:K05808",""
"ko:K01432","ko01240"
"ko:K12685",""
"ko:K02193","ko02010"
"ko:K03749",""
"ko:K01070","ko01200"
"ko:K01920","ko01240"
"ko:K02237",""
"ko:K02965","ko03010"
"ko:K12252","ko01100"
"ko:K00471","ko01100"
"ko:K01808","ko01230"
"ko:K09817","ko02010"
"ko:K00283","ko01200"
"ko:K07040",""
"ko:K05997",""
"ko:K21025","ko02025"
"ko:K02371","ko01212"
"ko:K02391","ko02040"
"ko:K00410","ko02020"
"ko:K03424",""
"ko:K05088","ko04013"
"ko:K02669",""
"ko:K00339","ko01100"
"ko:K10227","ko02010"
"ko:K03823","ko01110"
"ko:K02426",""
"ko:K10273",""
"ko:K03884","ko05415"
"ko:K02283","ko02020"
"ko:K00761","ko01232"
"ko:K02408","ko02040"
"ko:K01941","ko01110"
"ko:K01354","ko05143"
"ko:K02032","ko02024"
"ko:K09889",""
"ko:K01159","ko03440"
"ko:K02410","ko02040"
"ko:K03568",""
"ko:K04784","ko01053"
"ko:K06134","ko01240"
"ko:K06042","ko01240"
"ko:K03646",""
"ko:K10804","ko01040"
"ko:K16052",""
"ko:K00065","ko01100"
"ko:K00380","ko01120"
"ko:K01560","ko01120"
"ko:K01297",""
"ko:K16669","ko04392"
"ko:K17734",""
"ko:K00950","ko01240"
"ko:K00620","ko01230"
"ko:K16329","ko01100"
"ko:K00057","ko01110"
"ko:K01925","ko01100"
"ko:K04039","ko01110"
"ko:K06999",""
"ko:K02672",""
"ko:K07019",""
"ko:K02038","ko02010"
"ko:K08307",""
"ko:K15173","ko04918"
"ko:K13049",""
"ko:K00554",""
"ko:K05896",""
"ko:K02968","ko03010"
"ko:K02398","ko02040"
"ko:K15692",""
"ko:K00368","ko01310"
"ko:K02483",""
"ko:K22187","ko01100"
"ko:K00859","ko01240"
"ko:K00121","ko04936"
"ko:K16495",""
"ko:K04765","ko01232"
"ko:K09861",""
"ko:K03617",""
"ko:K01644","ko02020"
"ko:K00518",""
"ko:K02503",""
"ko:K01597","ko01110"
"ko:K03669",""
"ko:K03695","ko04213"
"ko:K03607",""
"ko:K00788","ko01240"
"ko:K01919","ko01240"
"ko:K08084",""
"ko:K01142","ko03410"
"ko:K15778","ko01250"
"ko:K04485",""
"ko:K10219","ko01220"
"ko:K06597","ko02020"
"ko:K09768",""
"ko:K03408","ko02030"
"ko:K03784","ko01232"
"ko:K06186",""
"ko:K03651","ko02025"
"ko:K08303","ko05120"
"ko:K02199",""
"ko:K00091",""
"ko:K01659","ko01100"
"ko:K00117","ko01110"
"ko:K06889",""
"ko:K09471","ko01100"
"ko:K17241","ko02010"
"ko:K03517","ko01240"
"ko:K07222",""
"ko:K09015",""
"ko:K01312","ko05164"
"ko:K11068",""
"ko:K03972",""
"ko:K09459","ko01120"
"ko:K02065","ko02010"
"ko:K01697","ko01230"
"ko:K01686","ko01100"
"ko:K00872","ko01230"
"ko:K09977",""
"ko:K00794","ko01240"
"ko:K00569","ko00983"
"ko:K07478",""
"ko:K15358","ko01120"
"ko:K12216",""
"ko:K06966","ko01232"
"ko:K18911","ko01100"
"ko:K02655",""
"ko:K01775","ko01502"
"ko:K11628",""
"ko:K06113",""
"ko:K02663",""
"ko:K00754",""
"ko:K00640","ko05111"
"ko:K09760",""
"ko:K02457","ko05111"
"ko:K13013",""
"ko:K13599","ko02020"
"ko:K03793","ko01240"
"ko:K03184","ko01240"
"ko:K09701",""
"ko:K02361","ko01110"
"ko:K01273",""
"ko:K06145",""
"ko:K03100","ko03060"
"ko:K06995",""
"ko:K17324","ko02010"
"ko:K18661","ko01100"
"ko:K00937","ko03018"
"ko:K10924","ko05111"
"ko:K06878",""
"ko:K08624",""
"ko:K01949",""
"ko:K22186","ko01100"
"ko:K13288","ko03008"
"ko:K19670","ko01120"
"ko:K01192","ko04142"
"ko:K16844","ko01100"
"ko:K02293","ko01110"
"ko:K06955",""
"ko:K00901","ko05231"
"ko:K05973","ko01100"
"ko:K20975","ko02025"
"ko:K02952","ko03010"
"ko:K01662","ko01110"
"ko:K02346",""
"ko:K06195",""
"ko:K03387",""
"ko:K01609","ko01230"
"ko:K00564",""
"ko:K21136",""
"ko:K17224","ko01120"
"ko:K01879","ko00970"
"ko:K09811","ko02010"
"ko:K00793","ko01240"
"ko:K01611","ko01110"
"ko:K06047",""
"ko:K02421","ko02040"
"ko:K08974",""
"ko:K07305",""
"ko:K08999",""
"ko:K15257",""
"ko:K06950",""
"ko:K00757","ko01232"
"ko:K04562",""
"ko:K00945","ko01232"
"ko:K17893",""
"ko:K18660","ko01212"
"ko:K00765","ko01230"
"ko:K08653","ko04141"
"ko:K01556","ko01240"
"ko:K11941",""
"ko:K01665","ko01240"
"ko:K03427",""
"ko:K01823","ko01110"
"ko:K16506",""
"ko:K04566","ko00970"
"ko:K18459",""
"ko:K05301","ko01120"
"ko:K15916","ko01250"
"ko:K15986","ko00190"
"ko:K08589","ko01503"
"ko:K08299",""
"ko:K21062","ko01100"
"ko:K09924",""
"ko:K01464","ko01100"
"ko:K02001","ko02010"
"ko:K14981","ko02020"
"ko:K03324",""
"ko:K19659",""
"ko:K13283",""
"ko:K01258",""
"ko:K06893",""
"ko:K00406","ko02020"
"ko:K14469","ko01200"
"ko:K02392","ko02040"
"ko:K04127","ko01110"
"ko:K04072","ko05146"
"ko:K01720","ko01100"
"ko:K02040","ko05152"
"ko:K01477","ko01120"
"ko:K09796",""
"ko:K03406","ko02030"
"ko:K17486","ko01100"
"ko:K01625","ko01200"
"ko:K06187","ko03440"
"ko:K07641","ko02020"
"ko:K03625",""
"ko:K00500","ko01230"
"ko:K00499","ko01100"
"ko:K07183",""
"ko:K03635","ko04122"
"ko:K20609",""
"ko:K02037","ko02010"
"ko:K00395","ko01120"
"ko:K00611","ko01230"
"ko:K01137","ko04142"
"ko:K00969","ko01240"
"ko:K07112",""
"ko:K05591",""
"ko:K01114","ko04919"
"ko:K07397",""
"ko:K16395","ko01052"
"ko:K00060","ko01100"
"ko:K02427",""
"ko:K12339","ko01230"
"ko:K00278","ko01240"
"ko:K07300",""
"ko:K04752",""
"ko:K03524","ko01100"
"ko:K02439","ko01120"
"ko:K18372","ko01100"
"ko:K06888",""
"ko:K04083",""
"ko:K03664",""
"ko:K10946","ko01310"
"ko:K04075",""
"ko:K01572",""
"ko:K01113","ko02020"
"ko:K07235","ko04122"
"ko:K00356",""
"ko:K11473","ko01120"
"ko:K03366","ko01110"
"ko:K03732","ko03018"
"ko:K09986",""
"ko:K06879","ko01100"
"ko:K09164",""
"ko:K07137",""
"ko:K12972","ko01120"
"ko:K02075",""
"ko:K05365","ko01100"
"ko:K00390","ko01120"
"ko:K01286",""
"ko:K02342","ko03440"
"ko:K15255",""
"ko:K22348",""
"ko:K09773",""
"ko:K01501","ko01120"
"ko:K05603","ko01100"
"ko:K06137",""
"ko:K07027",""
"ko:K14170","ko01230"
"ko:K09788","ko01100"
"ko:K02200",""
"ko:K00857","ko01232"
"ko:K03711",""
"ko:K00982",""
"ko:K04754",""
"ko:K01958","ko01230"
"ko:K02564","ko01100"
"ko:K02057",""
"ko:K19694",""
"ko:K03684",""
"ko:K18850",""
"ko:K22491",""
"ko:K16129","ko01054"
"ko:K03526","ko01110"
"ko:K02528",""
"ko:K03616",""
"ko:K19802","ko00470"
"ko:K17735",""
"ko:K01942","ko01100"
"ko:K00154",""
"ko:K00544","ko01110"
"ko:K18473","ko01212"
"ko:K12452","ko01250"
"ko:K06603",""
"ko:K00803","ko04146"
"ko:K00341","ko01100"
"ko:K10206","ko01230"
"ko:K02460","ko05111"
"ko:K05689","ko05226"
"ko:K00925","ko01200"
"ko:K00075","ko01250"
"ko:K00131","ko01200"
"ko:K03337","ko01120"
"ko:K00673","ko01100"
"ko:K03803",""
"ko:K06972",""
"ko:K12541","ko02010"
"ko:K01989",""
"ko:K00469","ko01250"
"ko:K01270","ko01100"
"ko:K03613",""
"ko:K00219",""
"ko:K09705",""
"ko:K07177",""
"ko:K01815","ko01100"
"ko:K02379",""
"ko:K00933","ko01100"
"ko:K00823","ko01120"
"ko:K01965","ko01200"
"ko:K00099","ko01110"
"ko:K00014","ko01230"
"ko:K01372",""
"ko:K06978",""
"ko:K19360",""
"ko:K03501",""
"ko:K00317","ko01200"
"ko:K01476","ko05146"
"ko:K02341","ko03440"
"ko:K05989","ko01100"
"ko:K01690","ko01200"
"ko:K10217","ko01220"
"ko:K16846","ko01100"
"ko:K02000","ko02010"
"ko:K01485","ko01232"
"ko:K00609","ko01240"
"ko:K00758","ko05219"
"ko:K07346","ko02020"
"ko:K13016","ko01250"
"ko:K07407","ko01100"
"ko:K01399","ko02024"
"ko:K20754",""
"ko:K01579","ko01240"
"ko:K01509","ko04742"
"ko:K06020",""
"ko:K02521",""
"ko:K01935","ko01240"
"ko:K00330","ko01100"
"ko:K00721","ko01100"
"ko:K07017",""
"ko:K03574",""
"ko:K01206","ko04142"
"ko:K05789",""
"ko:K00054","ko01110"
"ko:K18890","ko02010"
"ko:K07793","ko02020"
"ko:K17723","ko01100"
"ko:K09938",""
"ko:K03392","ko01100"
"ko:K12941",""
"ko:K03719",""
"ko:K06149",""
"ko:K15726",""
"ko:K04764",""
"ko:K00997","ko01110"
"ko:K01484","ko01100"
"ko:K07386",""
"ko:K03789",""
"ko:K00242","ko01200"
"ko:K02050",""
"ko:K02412","ko02040"
"ko:K01658","ko02025"
"ko:K00263","ko01110"
"ko:K01934","ko01100"
"ko:K02169","ko01240"
"ko:K11381","ko01210"
"ko:K03718",""
"ko:K05548",""
"ko:K00800","ko01230"
"ko:K00105","ko01110"
"ko:K09812","ko02010"
"ko:K10938","ko05111"
"ko:K16416","ko01052"
"ko:K02657","ko02025"
"ko:K14058",""
"ko:K01200","ko01110"
"ko:K06188",""
"ko:K09935",""
"ko:K06954",""
"ko:K02013",""
"ko:K00931","ko01230"
"ko:K12524","ko01230"
"ko:K12567","ko05414"
"ko:K11784","ko01240"
"ko:K03118","ko03070"
"ko:K01144",""
"ko:K07560",""
"ko:K03609",""
"ko:K08351","ko01100"
"ko:K10562","ko02010"
"ko:K01322","ko04614"
"ko:K22342",""
"ko:K10728","ko03440"
"ko:K04860","ko05414"
"ko:K10545","ko02010"
"ko:K00387","ko01120"
"ko:K03528",""
"ko:K11391",""
"ko:K16246","ko01220"
"ko:K05776","ko02010"
"ko:K18900",""
"ko:K02279","ko02020"
"ko:K04984","ko04750"
"ko:K11076","ko02010"
"ko:K01400",""
"ko:K02291","ko01110"
"ko:K07246","ko01100"
"ko:K12287",""
"ko:K04044",""
"ko:K09930",""
"ko:K11779","ko01120"
"ko:K03186","ko01240"
"ko:K09815","ko02010"
"ko:K03536",""
"ko:K01663","ko01230"
"ko:K13378","ko01100"
"ko:K02394","ko02040"
"ko:K05799",""
"ko:K14826",""
"ko:K16137",""
"ko:K01057","ko01200"
"ko:K00486","ko01240"
"ko:K03152",""
"ko:K08676",""
"ko:K04730","ko05417"
"ko:K03863","ko01120"
"ko:K01082","ko01120"
"ko:K02498",""
"ko:K03597",""
"ko:K03465","ko01232"
"ko:K01685","ko01100"
"ko:K00943","ko01232"
"ko:K07404","ko01200"
"ko:K09914",""
"ko:K08289","ko01110"
"ko:K17247",""
"ko:K07025",""
"ko:K07221",""
"ko:K01498","ko01240"
"ko:K18301",""
"ko:K03615",""
"ko:K01216",""
"ko:K07402",""
"ko:K00784",""
"ko:K11206",""
"ko:K04037","ko01110"
"ko:K13479","ko01232"
"ko:K03414","ko02030"
"ko:K21323",""
"ko:K02474","ko01250"
"ko:K21470",""
"ko:K01487","ko01232"
"ko:K01154",""
"ko:K00073","ko01120"
"ko:K03724",""
"ko:K16053",""
"ko:K07574",""
"ko:K21071","ko01230"
"ko:K05572","ko01100"
"ko:K09860","ko02040"
"ko:K06916",""
"ko:K13877","ko01100"
"ko:K03438",""
"ko:K00851","ko01200"
"ko:K22025",""
"ko:K00981","ko04070"
"ko:K02501","ko01230"
"ko:K03781","ko05208"
"ko:K13278",""
"ko:K06287","ko01232"
"ko:K09807",""
"ko:K06891",""
"ko:K00230","ko01240"
"ko:K16554","ko05111"
"ko:K03672",""
"ko:K00243",""
"ko:K17325","ko02010"
"ko:K01496","ko01230"
"ko:K01457","ko01120"
"ko:K02230","ko01240"
"ko:K19225",""
"ko:K12267",""
"ko:K09160",""
"ko:K02950","ko03010"
"ko:K11607","ko02010"
"ko:K03470","ko03030"
"ko:K09960",""
"ko:K07456","ko03430"
"ko:K04568",""
"ko:K01667","ko01100"
"ko:K13017","ko01250"
"ko:K02485",""
"ko:K14998",""
"ko:K01640","ko04146"
"ko:K01066",""
"ko:K06885",""
"ko:K16087",""
"ko:K09966",""
"ko:K04065",""
"ko:K06173",""
"ko:K15552","ko02010"
"ko:K11645","ko01230"
"ko:K05995",""
"ko:K01426","ko01120"
"ko:K02034","ko02024"
"ko:K13776","ko01120"
"ko:K03599",""
"ko:K16079",""
"ko:K18285","ko01240"
"ko:K13775","ko01120"
"ko:K06400",""
"ko:K03598",""
"ko:K06198",""
"ko:K10678","ko01120"
"ko:K00878","ko01240"
"ko:K01417",""
"ko:K01617","ko01220"
"ko:K20534",""
"ko:K03767","ko04217"
"ko:K07090",""
"ko:K10563","ko03410"
"ko:K17103","ko01110"
"ko:K18138","ko01503"
"ko:K01894",""
"ko:K13566","ko01100"
"ko:K00769","ko01232"
"ko:K02659","ko02025"
"ko:K09983",""
"ko:K03606","ko05111"
"ko:K06034","ko01240"
"ko:K02527","ko01100"
"ko:K21449",""
"ko:K05898","ko01120"
"ko:K00485","ko01100"
"ko:K07663","ko02020"
"ko:K02823","ko01240"
"ko:K01139","ko01100"
"ko:K12994",""
"ko:K01474","ko01100"
"ko:K12240","ko01053"
"ko:K04995","ko04971"
"ko:K07588","ko04980"
"ko:K18334","ko01120"
"ko:K11472","ko01120"
"ko:K03317",""
"ko:K11175","ko01110"
"ko:K14415",""
"ko:K03722",""
"ko:K02025",""
"ko:K00725","ko01100"
"ko:K03335","ko01120"
"ko:K11443","ko04112"
"ko:K01785","ko01120"
"ko:K11072","ko02010"
"ko:K10125","ko02020"
"ko:K00364","ko01232"
"ko:K02042","ko02010"
"ko:K07094","ko01110"
"ko:K01295",""
"ko:K03182","ko01240"
"ko:K02825","ko01232"
"ko:K00766","ko01230"
"ko:K10536","ko01110"
"ko:K05936","ko01240"
"ko:K01141","ko03430"
"ko:K00004","ko01110"
"ko:K02617",""
"ko:K12373","ko04142"
"ko:K03271","ko01250"
"ko:K03709",""
"ko:K06886",""
"ko:K09765",""
"ko:K03316",""
"ko:K14055",""
"ko:K03777","ko01120"
"ko:K04748",""
"ko:K05889",""
"ko:K01524","ko01100"
"ko:K02599","ko05224"
"ko:K00852","ko01100"
"ko:K00175","ko01210"
"ko:K06177",""
"ko:K13611",""
"ko:K00288","ko01240"
"ko:K16066","ko01100"
"ko:K12431",""
"ko:K13874","ko01100"
"ko:K07289",""
"ko:K03921","ko01212"
"ko:K08961",""
"ko:K03699",""
"ko:K07636","ko02020"
"ko:K02017","ko02010"
"ko:K15641","ko01052"
"ko:K01607","ko01220"
"ko:K03737","ko01210"
"ko:K00748","ko01100"
"ko:K07071",""
"ko:K00318","ko01110"
"ko:K06940",""
"ko:K00556",""
"ko:K07155",""
"ko:K01816","ko01100"
"ko:K03473","ko01240"
"ko:K07320",""
"ko:K02189","ko01240"
"ko:K08295","ko01120"
"ko:K03705",""
"ko:K01133",""
"ko:K18586",""
"ko:K11070","ko02010"
"ko:K01911","ko01240"
"ko:K00768","ko01240"
"ko:K21417",""
"ko:K00895","ko01120"
"ko:K14986","ko02020"
"ko:K02224","ko01240"
"ko:K01135","ko04142"
"ko:K00098",""
"ko:K05396","ko01100"
"ko:K19789",""
"ko:K03565",""
"ko:K02674",""
"ko:K07095",""
"ko:K03297",""
"ko:K01028","ko01100"
"ko:K01674","ko01100"
"ko:K21183",""
"ko:K01563","ko01120"
"ko:K01602","ko01200"
"ko:K22424",""
"ko:K05939","ko00564"
"ko:K10544","ko02010"
"ko:K20987","ko02025"
"ko:K02563","ko04112"
"ko:K08604","ko05111"
"ko:K05800",""
"ko:K00282","ko01200"
"ko:K02914","ko03010"
"ko:K02397","ko02040"
"ko:K07053",""
"ko:K04517","ko01230"
"ko:K15578","ko02010"
"ko:K03442",""
"ko:K02907","ko03010"
"ko:K00362","ko01310"
"ko:K09691","ko02010"
"ko:K06443","ko01110"
"ko:K00002","ko05208"
"ko:K01008","ko01100"
"ko:K04090",""
"ko:K03570",""
"ko:K01520","ko01232"
"ko:K07812","ko01120"
"ko:K17759",""
"ko:K00255","ko03320"
"ko:K09964",""
"ko:K07160","ko01100"
"ko:K01515","ko01100"
"ko:K03769",""
"ko:K14194","ko05150"
"ko:K08994",""
"ko:K13409","ko04626"
"ko:K10228","ko02010"
"ko:K16398","ko01052"
"ko:K09949","ko01100"
"ko:K03469","ko03030"
"ko:K07738",""
"ko:K16216",""
"ko:K17226","ko01120"
"ko:K06176",""
"ko:K07026","ko01100"
"ko:K03283","ko05417"
"ko:K01772","ko01240"
"ko:K21825",""
"ko:K02232","ko01240"
"ko:K04047",""
"ko:K11959","ko02010"
"ko:K02899","ko03010"
"ko:K02011","ko02010"
"ko:K15634","ko01230"
"ko:K01709","ko01250"
"ko:K09988","ko00040"
"ko:K03412","ko02030"
"ko:K02858","ko01240"
"ko:K21023","ko02025"
"ko:K00990","ko02020"
"ko:K16856","ko01100"
"ko:K00646",""
"ko:K02653",""
"ko:K04118","ko01120"
"ko:K09697","ko02020"
"ko:K12342","ko03070"
"ko:K21308","ko01120"
"ko:K07447",""
"ko:K01684","ko01120"
"ko:K12960","ko01100"
"ko:K07742",""
"ko:K00340","ko01100"
"ko:K15067","ko01100"
"ko:K19804",""
"ko:K06193",""
"ko:K07238",""
"ko:K20755",""
"ko:K00021","ko04976"
"ko:K16378","ko01052"
"ko:K01091","ko01110"
"ko:K02507",""
"ko:K07552",""
"ko:K04788","ko01053"
"ko:K01729","ko01100"
"ko:K20032",""
"ko:K01336","ko04138"
"ko:K06206",""
"ko:K10560","ko02010"
"ko:K04516","ko01230"
"ko:K03292",""
"ko:K13789","ko01110"
"ko:K02634","ko01100"
"ko:K06015",""
"ko:K00064","ko01120"
"ko:K01431","ko01100"
"ko:K02010","ko02010"
"ko:K00759","ko01232"
"ko:K00806","ko01110"
"ko:K17722","ko01100"
"ko:K01130","ko01100"
"ko:K03272","ko01250"
"ko:K04691",""
"ko:K00641","ko01230"
"ko:K18369","ko01100"
"ko:K01055","ko01220"
"ko:K07046","ko01120"
"ko:K07301",""
"ko:K14448","ko01200"
"ko:K16428","ko01055"
"ko:K03112",""
"ko:K01664","ko01240"
"ko:K01301",""
"ko:K03584","ko03440"
"ko:K01486","ko01232"
"ko:K03710",""
"ko:K00874","ko01200"
"ko:K01176","ko04973"
"ko:K01539","ko04978"
"ko:K03774",""
"ko:K01218","ko02024"
"ko:K02551","ko01240"
"ko:K12410","ko01100"
"ko:K10763",""
"ko:K07182",""
"ko:K03746",""
"ko:K13018","ko01250"
"ko:K00452","ko01240"
"ko:K13256",""
"ko:K02415","ko02040"
"ko:K10026","ko01100"
"ko:K03201","ko03070"
"ko:K01387",""
"ko:K06917",""
"ko:K22027",""
"ko:K07106","ko01100"
"ko:K03742","ko01100"
"ko:K19031",""
"ko:K02569",""
"ko:K11751","ko01232"
"ko:K13613",""
"ko:K16124","ko01054"
"ko:K00338","ko01100"
"ko:K05820",""
"ko:K00076","ko00121"
"ko:K00285","ko01100"
"ko:K04780","ko01053"
"ko:K00034","ko01200"
"ko:K03762",""
"ko:K01639","ko01100"
"ko:K09936","ko02024"
"ko:K11690","ko02020"
"ko:K06881","ko01120"
"ko:K05573","ko01100"
"ko:K01593","ko05034"
"ko:K01000","ko01502"
"ko:K03560",""
"ko:K00571",""
"ko:K11153","ko01240"
"ko:K01661","ko01240"
"ko:K03856","ko01230"
"ko:K00869","ko04146"
"ko:K11071","ko02010"
"ko:K21636","ko01232"
"ko:K07396",""
"ko:K03558",""
"ko:K21686",""
"ko:K18785",""
"ko:K15521",""
"ko:K03566","ko02026"
"ko:K00968","ko05231"
"ko:K16874","ko01120"
"ko:K08309",""
"ko:K21883","ko01120"
"ko:K09472","ko01100"
"ko:K19721","ko04974"
"ko:K15977",""
"ko:K00588","ko01110"
"ko:K11961","ko02010"
"ko:K09985",""
"ko:K00350",""
"ko:K05539",""
"ko:K01598","ko01240"
"ko:K09801",""
"ko:K08323","ko01100"
"ko:K09912",""
"ko:K00372","ko01310"
"ko:K12525","ko01230"
"ko:K11438",""
"ko:K02039",""
"ko:K03478",""
"ko:K18893","ko02010"
"ko:K00274","ko05034"
"ko:K03637","ko04122"
"ko:K07810","ko02020"
"ko:K15658",""
"ko:K09946",""
"ko:K03079","ko01120"
"ko:K17763",""
"ko:K01715","ko01200"
"ko:K07093",""
"ko:K00786",""
"ko:K18981","ko01100"
"ko:K09980",""
"ko:K07056",""
"ko:K13777","ko01120"
"ko:K03668",""
"ko:K01224",""
"ko:K00316","ko01100"
"ko:K07806","ko02020"
"ko:K15581","ko02024"
"ko:K13598","ko02020"
"ko:K21007","ko02025"
"ko:K15512","ko01120"
"ko:K13730","ko05100"
"ko:K00023","ko01200"
"ko:K01450",""
"ko:K19222","ko01240"
"ko:K22132",""
"ko:K10552","ko02010"
"ko:K00865","ko01120"
"ko:K03234","ko04921"
"ko:K07979",""
"ko:K12995",""
"ko:K07678","ko05111"
"ko:K03327",""
"ko:K07232","ko01100"
"ko:K04094",""
"ko:K08261","ko01100"
"ko:K15642","ko01052"
"ko:K07237","ko04122"
"ko:K09502","ko04141"
"ko:K07337",""
"ko:K17495",""
"ko:K03098",""
"ko:K07317",""
"ko:K21195","ko01100"
"ko:K09004",""
"ko:K08316",""
"ko:K21948",""
"ko:K14977","ko01120"
"ko:K01574","ko01100"
"ko:K00887","ko00550"
"ko:K01483","ko01100"
"ko:K11930",""
"ko:K10554","ko02010"
"ko:K15034",""
"ko:K01253","ko05208"
"ko:K00373","ko02020"
"ko:K17317","ko02010"
"ko:K18100","ko02025"
"ko:K15168",""
"ko:K07018",""
"ko:K14447","ko01200"
"ko:K01820","ko01120"
"ko:K07213","ko04978"
"ko:K16125","ko01054"
"ko:K06249","ko05165"
"ko:K02203","ko01230"
"ko:K13779","ko01120"
"ko:K19856","ko01250"
"ko:K05578","ko01100"
"ko:K02364","ko01110"
"ko:K04761","ko02026"
"ko:K02472","ko05111"
"ko:K01960","ko01230"
"ko:K18579",""
"ko:K04034","ko01110"
"ko:K01089","ko01230"
"ko:K12239","ko01053"
"ko:K07042",""
"ko:K06923",""
"ko:K00226","ko01240"
"ko:K14260","ko01230"
"ko:K07089",""
"ko:K00798","ko04980"
"ko:K01805","ko01100"
"ko:K02077",""
"ko:K01796","ko04146"
"ko:K02033","ko02024"
"ko:K09709","ko01200"
"ko:K01694","ko01230"
"ko:K01129","ko01232"
"ko:K02493",""
"ko:K02450",""
"ko:K02226","ko01240"
"ko:K02231","ko01240"
"ko:K02015",""
"ko:K21792","ko01110"
"ko:K05516",""
"ko:K07315",""
"ko:K16898",""
"ko:K00111","ko01110"
"ko:K02066","ko02010"
"ko:K13607","ko01110"
"ko:K07082",""
"ko:K09597",""
"ko:K11903","ko03070"
"ko:K08218","ko01501"
"ko:K05970",""
"ko:K03738","ko01200"
"ko:K04101","ko01120"
"ko:K01596","ko04964"
"ko:K00849","ko01250"
"ko:K15783","ko01120"
"ko:K10747","ko03430"
"ko:K11604","ko02010"
"ko:K07751","ko01100"
"ko:K02517","ko01100"
"ko:K13614",""
"ko:K09826",""
"ko:K07115",""
"ko:K04600",""
"ko:K07192","ko04910"
"ko:K02419","ko02040"
"ko:K09780",""
