"K1","ko"
"ko:K02901","ko05171"
"ko:K01000","ko01502"
"ko:K02957","ko05171"
"ko:K02918","ko05171"
"ko:K10335",""
"ko:K01218","ko02024"
"ko:K08843",""
"ko:K12874","ko03040"
"ko:K00236","ko05415"
"ko:K12244",""
"ko:K16772",""
"ko:K00472","ko01100"
"ko:K02872","ko05171"
"ko:K16812",""
"ko:K01158","ko04623"
"ko:K01836","ko01250"
"ko:K01756","ko01240"
"ko:K08239","ko04142"
"ko:K02984","ko05171"
"ko:K12304","ko01232"
"ko:K14651","ko05202"
"ko:K03686",""
"ko:K02985","ko05171"
"ko:K13783",""
"ko:K04512","ko04820"
"ko:K01662","ko01110"
"ko:K03798",""
"ko:K12619","ko03018"
"ko:K12606","ko03018"
"ko:K19844","ko04011"
"ko:K01399","ko02024"
"ko:K15449",""
"ko:K05849","ko05414"
"ko:K12968","ko05171"
"ko:K02973","ko05171"
"ko:K03010","ko05016"
"ko:K02599","ko05224"
"ko:K17307","ko04820"
"ko:K02978","ko05171"
"ko:K16608",""
"ko:K20222","ko03013"
"ko:K11095","ko03040"
"ko:K00323","ko01100"
"ko:K02998","ko05171"
"ko:K18597",""
"ko:K01382","ko04142"
"ko:K03456","ko05165"
"ko:K02601",""
"ko:K13347","ko04146"
"ko:K01886","ko01100"
"ko:K08800",""
"ko:K09286",""
"ko:K05692","ko05418"
"ko:K12613","ko03018"
"ko:K12854","ko03040"
"ko:K03292",""
"ko:K06158",""
"ko:K12376",""
"ko:K01079","ko01230"
"ko:K00962","ko03018"
"ko:K18461","ko04212"
"ko:K22069",""
"ko:K01405",""
"ko:K12121","ko04712"
"ko:K04641",""
"ko:K20103",""
"ko:K11251","ko05322"
"ko:K06052","ko05224"
"ko:K07877","ko04152"
"ko:K11296",""
"ko:K06185","ko05130"
"ko:K01802",""
"ko:K14792",""
"ko:K11481","ko04914"
"ko:K10357","ko05130"
"ko:K01760","ko01230"
"ko:K09624",""
"ko:K05761",""
"ko:K20290",""
"ko:K06675","ko04111"
"ko:K15559",""
"ko:K01265",""
"ko:K11825","ko05016"
"ko:K11367",""
"ko:K01954","ko01240"
"ko:K09527",""
"ko:K08956","ko05017"
"ko:K01379","ko05415"
"ko:K03797",""
"ko:K14645","ko02024"
"ko:K07936","ko05166"
"ko:K04459","ko04361"
"ko:K10779","ko04110"
"ko:K14998",""
"ko:K09499",""
"ko:K01530",""
"ko:K03687",""
"ko:K10735",""
"ko:K09191",""
"ko:K03517","ko01240"
"ko:K13096",""
"ko:K16487",""
"ko:K15280",""
"ko:K01074","ko04142"
"ko:K15542","ko03015"
"ko:K11549",""
"ko:K00392","ko01120"
"ko:K02734","ko05022"
"ko:K15979","ko05203"
"ko:K12741","ko05014"
"ko:K12391","ko05170"
"ko:K08099","ko01110"
"ko:K14848",""
"ko:K02949","ko05171"
"ko:K03873","ko05211"
"ko:K01738","ko01230"
"ko:K10405","ko04814"
"ko:K02891","ko05171"
"ko:K01870","ko00970"
"ko:K01873","ko00970"
"ko:K01276",""
"ko:K02470",""
"ko:K09500",""
"ko:K11131","ko03008"
"ko:K16478",""
"ko:K04853","ko05414"
"ko:K01230","ko04141"
"ko:K15255",""
"ko:K10226","ko03320"
"ko:K02326","ko03420"
"ko:K03522",""
"ko:K08244",""
"ko:K11086","ko05322"
"ko:K12736",""
"ko:K02349",""
"ko:K20952","ko05111"
"ko:K03265","ko03015"
"ko:K11274",""
"ko:K20823",""
"ko:K01649","ko01230"
"ko:K11434","ko04922"
"ko:K03061","ko05169"
"ko:K11262","ko04936"
"ko:K04420","ko04912"
"ko:K01674","ko01100"
"ko:K12960","ko01100"
"ko:K08493","ko04138"
"ko:K02870","ko05171"
"ko:K08874","ko05166"
"ko:K01702","ko01230"
"ko:K03846","ko01100"
"ko:K14544","ko03008"
"ko:K12823","ko05205"
"ko:K01099","ko04070"
"ko:K17915","ko04814"
"ko:K00749",""
"ko:K04508","ko04310"
"ko:K11654","ko03082"
"ko:K01365","ko05418"
"ko:K00026","ko01200"
"ko:K13131",""
"ko:K18460","ko03013"
"ko:K19014",""
"ko:K03773",""
"ko:K03234","ko04921"
"ko:K00326","ko00520"
"ko:K07897","ko05152"
"ko:K13830","ko01230"
"ko:K19603","ko04657"
"ko:K14206","ko04974"
"ko:K21991",""
"ko:K00924","ko04075"
"ko:K04498","ko05215"
"ko:K03099","ko05231"
"ko:K00549","ko01230"
"ko:K09549",""
"ko:K01772","ko01240"
"ko:K11294","ko05130"
"ko:K07442",""
"ko:K13348","ko04146"
"ko:K03938","ko05415"
"ko:K12115","ko04712"
"ko:K03527","ko01110"
"ko:K02126","ko05415"
"ko:K05292","ko01100"
"ko:K05544",""
"ko:K03841","ko04922"
"ko:K03062","ko05203"
"ko:K11490",""
"ko:K00559","ko01110"
"ko:K08076",""
"ko:K01183","ko01100"
"ko:K17495",""
"ko:K13621","ko00564"
"ko:K09503","ko04141"
"ko:K16896","ko04020"
"ko:K09699","ko01210"
"ko:K01179","ko02020"
"ko:K06268","ko05417"
"ko:K03097","ko05235"
"ko:K14521","ko03008"
"ko:K03027","ko04623"
"ko:K04551","ko05167"
"ko:K06676","ko04111"
"ko:K15440",""
"ko:K01087","ko01110"
"ko:K09568",""
"ko:K08738","ko05417"
"ko:K00703","ko02026"
"ko:K02865","ko05171"
"ko:K09486","ko04141"
"ko:K00641","ko01230"
"ko:K11252","ko05322"
"ko:K02941","ko05171"
"ko:K02940","ko05171"
"ko:K01893","ko00970"
"ko:K00480","ko01220"
"ko:K12616","ko03018"
"ko:K01638","ko01200"
"ko:K04507","ko04310"
"ko:K17794","ko04212"
"ko:K20929",""
"ko:K21769","ko04218"
"ko:K20282","ko05132"
"ko:K01835","ko01250"
"ko:K08679","ko01250"
"ko:K12603","ko03018"
"ko:K02903","ko05171"
"ko:K05658","ko05226"
"ko:K13539",""
"ko:K10591","ko05169"
"ko:K20476",""
"ko:K13127",""
"ko:K04536","ko05200"
"ko:K06889",""
"ko:K04534","ko05170"
"ko:K02892","ko03010"
"ko:K12948","ko03060"
"ko:K20027","ko04623"
"ko:K17080",""
"ko:K01373","ko04626"
"ko:K01724","ko01100"
"ko:K06560","ko05152"
"ko:K05303",""
"ko:K03404","ko01110"
"ko:K01749","ko01240"
"ko:K05523","ko01120"
"ko:K16743",""
"ko:K00002","ko05208"
"ko:K17508",""
"ko:K19720","ko05415"
"ko:K09523","ko05164"
"ko:K12618","ko03018"
"ko:K01489","ko01232"
"ko:K02725","ko05022"
"ko:K09867","ko04970"
"ko:K03942","ko05415"
"ko:K17576",""
"ko:K20276","ko02024"
"ko:K10206","ko01230"
"ko:K12812","ko03040"
"ko:K11808","ko01110"
"ko:K17535",""
"ko:K00234","ko05415"
