"K1","ko"
"ko:K10704","ko05131"
"ko:K11837",""
"ko:K12571","ko03018"
"ko:K07749","ko01100"
"ko:K05218","ko04080"
"ko:K01720","ko01100"
"ko:K04733","ko05417"
"ko:K00656","ko01120"
"ko:K00287","ko01523"
"ko:K05956",""
"ko:K01062","ko01100"
"ko:K15001",""
"ko:K03319",""
"ko:K09669",""
"ko:K04532","ko05010"
"ko:K04978",""
"ko:K10601","ko04141"
"ko:K19372",""
"ko:K12472","ko04144"
"ko:K08909","ko01100"
"ko:K00717","ko05202"
"ko:K04354","ko05165"
"ko:K13748","ko01100"
"ko:K10144","ko05162"
"ko:K03530",""
"ko:K09510",""
"ko:K21196","ko01100"
"ko:K10756","ko03430"
"ko:K14765",""
"ko:K20846",""
"ko:K00252","ko01120"
"ko:K17199",""
"ko:K02929","ko05171"
"ko:K03163",""
"ko:K06067","ko05220"
"ko:K04416","ko05166"
"ko:K13806","ko04925"
"ko:K01380","ko05415"
"ko:K13341","ko04146"
"ko:K05298","ko01200"
"ko:K03008","ko05016"
"ko:K14409","ko03015"
"ko:K16290",""
"ko:K21878",""
"ko:K02350","ko03460"
"ko:K04393","ko05417"
"ko:K08202","ko05231"
"ko:K11754","ko01240"
"ko:K03038","ko05169"
"ko:K00601","ko01110"
"ko:K14818",""
"ko:K11368",""
"ko:K13108",""
"ko:K01102",""
"ko:K03581","ko03440"
"ko:K00696","ko01110"
"ko:K00925","ko01200"
"ko:K00381","ko01120"
"ko:K00505","ko04916"
"ko:K14791",""
"ko:K15040","ko05415"
"ko:K19501","ko04148"
"ko:K10625",""
"ko:K07893",""
"ko:K02327","ko03440"
"ko:K03972",""
"ko:K13183",""
"ko:K01138",""
"ko:K15031",""
"ko:K12436",""
"ko:K18107","ko01100"
"ko:K02736","ko05022"
"ko:K04798",""
"ko:K16365","ko03060"
"ko:K16742",""
"ko:K18754",""
"ko:K01126","ko00564"
"ko:K17566",""
"ko:K01776","ko01100"
"ko:K09866","ko04976"
"ko:K02916","ko03010"
"ko:K05120",""
"ko:K11757","ko05225"
"ko:K16512",""
"ko:K00960","ko03020"
"ko:K07298","ko04920"
"ko:K18080",""
"ko:K08517","ko05134"
"ko:K10635",""
"ko:K10605","ko05224"
"ko:K01495","ko01240"
"ko:K17705","ko04520"
"ko:K03417","ko01100"
"ko:K05657","ko02010"
"ko:K03104","ko03060"
"ko:K06632","ko05170"
"ko:K12489","ko04144"
"ko:K14554","ko03008"
"ko:K12876","ko03040"
"ko:K10391","ko04814"
"ko:K08596",""
"ko:K20363",""
"ko:K03965","ko05415"
"ko:K10891","ko03460"
"ko:K12832","ko03040"
"ko:K19801","ko04070"
"ko:K02640","ko01100"
"ko:K17065","ko04668"
"ko:K01698","ko01240"
"ko:K20305",""
"ko:K02727","ko05022"
"ko:K06148",""
"ko:K12860","ko03040"
"ko:K21915",""
"ko:K09566",""
"ko:K03014","ko05016"
"ko:K02917","ko05171"
"ko:K10582","ko04120"
"ko:K05289","ko01100"
"ko:K01426","ko01120"
"ko:K02113","ko01100"
"ko:K07756","ko04138"
"ko:K20097",""
"ko:K19919",""
"ko:K04040","ko01110"
"ko:K22262","ko04140"
"ko:K05275","ko01120"
"ko:K11091","ko03040"
"ko:K10338",""
"ko:K19945","ko04137"
"ko:K07277","ko04137"
"ko:K01106","ko04910"
"ko:K10257",""
"ko:K01556","ko01240"
"ko:K09522",""
"ko:K03521",""
"ko:K16535",""
"ko:K10768",""
"ko:K10610","ko05203"
"ko:K16271",""
"ko:K06970",""
"ko:K20360",""
"ko:K11347",""
"ko:K11657","ko03082"
"ko:K01950","ko01240"
"ko:K01759","ko01100"
"ko:K02983","ko05171"
"ko:K03236",""
"ko:K20634",""
"ko:K21437",""
"ko:K00639","ko01100"
"ko:K20777",""
"ko:K19737",""
"ko:K11293",""
"ko:K01011","ko04122"
"ko:K02492","ko01240"
"ko:K02726","ko05022"
"ko:K09328",""
"ko:K03762",""
"ko:K16749",""
"ko:K00626","ko04975"
"ko:K04591",""
"ko:K04373","ko05207"
"ko:K20456",""
"ko:K11728","ko03082"
"ko:K14724",""
"ko:K13116","ko04623"
"ko:K09313",""
"ko:K14498","ko04075"
"ko:K12899",""
"ko:K03885","ko01100"
"ko:K00592",""
"ko:K00102","ko01100"
"ko:K10062","ko04145"
"ko:K04411","ko05223"
"ko:K18663",""
"ko:K01673","ko01100"
"ko:K06063","ko05203"
"ko:K17686","ko04978"
"ko:K22377",""
"ko:K06236","ko05415"
"ko:K10740","ko03460"
"ko:K03847","ko01100"
"ko:K01536",""
"ko:K10458",""
"ko:K13462",""
"ko:K12167",""
"ko:K08827",""
"ko:K04513","ko05418"
"ko:K08773","ko05212"
"ko:K02325","ko03420"
"ko:K22139","ko05415"
"ko:K14835",""
"ko:K02946","ko03010"
"ko:K03031","ko05169"
"ko:K00863","ko04622"
"ko:K15296","ko04721"
"ko:K11843",""
"ko:K00503","ko01100"
"ko:K04991",""
"ko:K12893","ko05168"
"ko:K17479",""
"ko:K12622","ko03040"
"ko:K00660","ko04712"
"ko:K20296",""
"ko:K16570",""
"ko:K08622",""
"ko:K06902","ko04138"
"ko:K10843","ko03420"
"ko:K11188","ko01110"
"ko:K00752",""
"ko:K03306",""
"ko:K05723",""
"ko:K00756","ko01232"
"ko:K18753","ko04218"
"ko:K03644","ko01240"
"ko:K13338","ko04146"
"ko:K14780",""
"ko:K06119","ko01100"
"ko:K11798",""
"ko:K20049",""
"ko:K08838",""
"ko:K14803",""
"ko:K20051",""
"ko:K21415",""
"ko:K07561",""
"ko:K01714","ko01230"
"ko:K13201",""
"ko:K00015","ko01120"
"ko:K17300",""
"ko:K06261","ko04640"
"ko:K19413",""
"ko:K11169",""
"ko:K04834","ko04742"
"ko:K01775","ko01502"
"ko:K00852","ko01100"
"ko:K15109","ko04714"
"ko:K22144",""
"ko:K17582",""
"ko:K04942","ko04929"
"ko:K00243",""
"ko:K14857",""
"ko:K03608",""
"ko:K03929",""
"ko:K04618","ko01100"
"ko:K16599",""
"ko:K05683","ko04979"
"ko:K00297","ko01200"
"ko:K05619",""
"ko:K18441","ko05132"
"ko:K22278",""
"ko:K11713",""
"ko:K11787","ko01523"
"ko:K17804",""
"ko:K00804","ko01110"
"ko:K09592","ko05211"
"ko:K15192",""
"ko:K14453",""
"ko:K21870",""
"ko:K06133","ko01100"
"ko:K10755","ko03430"
"ko:K17081","ko04137"
"ko:K14773",""
"ko:K10908",""
"ko:K02895","ko03010"
"ko:K07541","ko01100"
"ko:K05754","ko05135"
"ko:K01811",""
"ko:K17338",""
"ko:K10716",""
"ko:K09528",""
"ko:K03848","ko01100"
"ko:K16186","ko05131"
"ko:K10703","ko01212"
"ko:K01867","ko00970"
"ko:K01584","ko01110"
"ko:K21248","ko04140"
"ko:K05991",""
"ko:K16476",""
"ko:K01425","ko05230"
"ko:K14441",""
"ko:K14779",""
"ko:K10419","ko05132"
"ko:K17085",""
"ko:K04424","ko04010"
"ko:K11136",""
"ko:K00975","ko02026"
"ko:K12175",""
"ko:K02988","ko03010"
"ko:K01262",""
"ko:K07240",""
"ko:K20184","ko05132"
"ko:K01256","ko01100"
"ko:K05351","ko01100"
"ko:K12880","ko03040"
"ko:K21392",""
"ko:K01205","ko04142"
"ko:K07304",""
"ko:K15634","ko01230"
"ko:K14652","ko01240"
"ko:K00847","ko01250"
"ko:K03515","ko03460"
"ko:K19684",""
"ko:K03167",""
"ko:K12381","ko04142"
"ko:K13354","ko04146"
"ko:K12479","ko04144"
"ko:K13195",""
"ko:K11587",""
"ko:K03595",""
"ko:K12524","ko01230"
"ko:K16865","ko05206"
"ko:K13506","ko01110"
"ko:K17681",""
"ko:K04123","ko01110"
"ko:K10686","ko04120"
"ko:K19513",""
"ko:K03458",""
"ko:K03322",""
"ko:K15073",""
"ko:K20003",""
"ko:K10608","ko04120"
"ko:K09570",""
"ko:K15095","ko01110"
"ko:K20689",""
"ko:K05033","ko02010"
"ko:K09533",""
"ko:K12897","ko04936"
"ko:K10581","ko04120"
"ko:K02921","ko05171"
"ko:K04718","ko05152"
"ko:K10468",""
"ko:K17600",""
"ko:K14439","ko04550"
"ko:K10260","ko04120"
"ko:K02729","ko05022"
"ko:K10399","ko04814"
"ko:K05862","ko05415"
"ko:K15264",""
"ko:K00010","ko01120"
"ko:K09572",""
"ko:K06813",""
"ko:K15728","ko04936"
"ko:K00122","ko01200"
"ko:K01525","ko01100"
"ko:K14997",""
"ko:K12160","ko05418"
"ko:K06147",""
"ko:K16601",""
"ko:K11267","ko04110"
"ko:K10273",""
"ko:K11833",""
"ko:K16545",""
"ko:K14823",""
"ko:K09131",""
"ko:K00706","ko04011"
"ko:K11323",""
"ko:K12611","ko03018"
"ko:K02911","ko03010"
"ko:K17972",""
"ko:K12236","ko05165"
"ko:K18670",""
"ko:K11978",""
"ko:K14617","ko04980"
"ko:K17501",""
"ko:K01284",""
"ko:K01259","ko01100"
"ko:K17580",""
"ko:K14546","ko03008"
"ko:K08059","ko04612"
"ko:K13720",""
"ko:K12811","ko03040"
"ko:K08214",""
"ko:K12733","ko03040"
"ko:K06955",""
"ko:K06561",""
"ko:K20163",""
"ko:K01417",""
"ko:K11127",""
"ko:K14412","ko01100"
"ko:K06072",""
"ko:K18534","ko01240"
"ko:K16632",""
"ko:K06639","ko04113"
"ko:K03678","ko03018"
"ko:K17966",""
"ko:K06252","ko05206"
"ko:K14490","ko04075"
"ko:K12857","ko03040"
"ko:K11363",""
"ko:K00108","ko01100"
"ko:K14552","ko03008"
"ko:K15365","ko03460"
"ko:K03953","ko05415"
"ko:K10317",""
"ko:K10903","ko04218"
"ko:K08790",""
"ko:K11971",""
"ko:K05019",""
"ko:K07739",""
"ko:K06628","ko04113"
"ko:K11093","ko03040"
"ko:K06660","ko04113"
"ko:K01301",""
"ko:K06961",""
"ko:K15923","ko00511"
"ko:K12164",""
"ko:K06666","ko04111"
"ko:K13719","ko04141"
"ko:K01384","ko05226"
"ko:K04377","ko05230"
"ko:K05767","ko04810"
"ko:K10047","ko04070"
"ko:K12592","ko03018"
"ko:K02515","ko04111"
"ko:K12319","ko04970"
"ko:K06443","ko01110"
"ko:K19573",""
"ko:K20241",""
"ko:K19006","ko01100"
"ko:K08249","ko01110"
"ko:K15892","ko01110"
"ko:K01104",""
"ko:K03874",""
"ko:K02541","ko04113"
"ko:K03495",""
"ko:K19041",""
"ko:K10326",""
"ko:K02230","ko01240"
"ko:K04429","ko04010"
"ko:K21148","ko04122"
"ko:K12663","ko04146"
"ko:K20179","ko05132"
"ko:K01180",""
"ko:K01859","ko01110"
"ko:K14190","ko01240"
"ko:K12469","ko04144"
"ko:K15168",""
"ko:K03650",""
"ko:K00142",""
"ko:K06694",""
"ko:K11303","ko05034"
"ko:K08056","ko05170"
"ko:K08369",""
"ko:K02087","ko05203"
"ko:K07088",""
"ko:K14960",""
"ko:K17800","ko04139"
"ko:K03297",""
"ko:K04887",""
"ko:K11097","ko03040"
"ko:K03152",""
"ko:K14442","ko03018"
"ko:K04353","ko05417"
"ko:K13675","ko00514"
"ko:K00893","ko01232"
"ko:K03703","ko03420"
"ko:K12240","ko01053"
"ko:K01381","ko04138"
"ko:K08246","ko01110"
"ko:K03146","ko01240"
"ko:K17584",""
"ko:K13838","ko05144"
"ko:K01881","ko00970"
"ko:K21121",""
"ko:K11862",""
"ko:K12460","ko04722"
"ko:K01115","ko05231"
"ko:K14810",""
"ko:K17630","ko04014"
"ko:K20473",""
"ko:K21198",""
"ko:K14395",""
"ko:K13511","ko00564"
"ko:K01110","ko05415"
"ko:K00718","ko01100"
"ko:K17099",""
"ko:K04494","ko04310"
"ko:K00816","ko01110"
"ko:K02117","ko01100"
"ko:K20444",""
"ko:K02088",""
"ko:K13172",""
"ko:K01392","ko05143"
"ko:K07270",""
"ko:K04560","ko05031"
"ko:K15047","ko05164"
"ko:K02003",""
"ko:K13680",""
"ko:K15191",""
"ko:K18738",""
"ko:K14809",""
"ko:K00432","ko05022"
"ko:K03249",""
"ko:K10146","ko04115"
"ko:K00888","ko04070"
"ko:K19677",""
"ko:K05036","ko05034"
"ko:K13882","ko05152"
"ko:K17046",""
"ko:K19347","ko04820"
"ko:K03016","ko05016"
"ko:K10420","ko05132"
"ko:K03360","ko04120"
"ko:K02266","ko05415"
"ko:K03218",""
"ko:K00560","ko01523"
"ko:K16630","ko04974"
"ko:K21157","ko04138"
"ko:K02823","ko01240"
"ko:K15406","ko01110"
"ko:K03531","ko04112"
"ko:K14801",""
"ko:K09865","ko04962"
"ko:K06825","ko04820"
"ko:K14015","ko04141"
"ko:K11667","ko03082"
"ko:K03939","ko05415"
"ko:K16368","ko01110"
"ko:K01338","ko04112"
"ko:K14689",""
"ko:K16944","ko05131"
"ko:K02318","ko01240"
"ko:K18735",""
"ko:K22249",""
"ko:K22008",""
"ko:K10866","ko04218"
"ko:K03364","ko04914"
"ko:K02065","ko02010"
"ko:K00563",""
"ko:K07359","ko05034"
"ko:K01654","ko01250"
"ko:K12272","ko03060"
"ko:K04603","ko05022"
"ko:K01112",""
"ko:K16729",""
"ko:K06692",""
"ko:K02510","ko01120"
"ko:K12590","ko03018"
"ko:K16011","ko02025"
"ko:K20888",""
"ko:K10244","ko01212"
"ko:K09515",""
"ko:K16575","ko05132"
"ko:K03857","ko01100"
"ko:K06249","ko05165"
"ko:K01627","ko01250"
"ko:K01619","ko01100"
"ko:K01147",""
"ko:K10256","ko01212"
"ko:K01136","ko04142"
"ko:K20101",""
"ko:K14397","ko03015"
"ko:K17562",""
"ko:K01464","ko01100"
"ko:K14846",""
"ko:K19073","ko01110"
"ko:K17906","ko05022"
"ko:K01727",""
"ko:K15414",""
"ko:K08578",""
"ko:K00734","ko01100"
"ko:K22148",""
"ko:K11817","ko01100"
"ko:K02935","ko03010"
"ko:K17499",""
"ko:K00130","ko01100"
"ko:K09582","ko05110"
"ko:K04956","ko04929"
"ko:K21633",""
"ko:K00355","ko05418"
"ko:K19306",""
"ko:K13205",""
"ko:K18197",""
"ko:K02016",""
"ko:K08852","ko05417"
"ko:K19355","ko01100"
"ko:K06258","ko04512"
"ko:K06228","ko04341"
"ko:K14565","ko03008"
"ko:K05467","ko04151"
"ko:K02698","ko01100"
"ko:K02939","ko03010"
"ko:K00103","ko01240"
"ko:K03094","ko05200"
"ko:K15009","ko04724"
"ko:K11206",""
"ko:K11861",""
"ko:K06634","ko04110"
"ko:K18402",""
"ko:K06642","ko04110"
"ko:K00476","ko04260"
"ko:K16717",""
"ko:K14216","ko05171"
"ko:K19326","ko04820"
"ko:K04443","ko05203"
"ko:K02695","ko01100"
"ko:K09273",""
"ko:K00666",""
"ko:K02337","ko03440"
"ko:K20177","ko04148"
"ko:K20472",""
"ko:K11459","ko05206"
"ko:K10570","ko04120"
"ko:K20223","ko04013"
"ko:K08106","ko00532"
"ko:K03351","ko05166"
"ko:K21270",""
"ko:K10454",""
"ko:K07213","ko04978"
"ko:K02471","ko02010"
"ko:K01465","ko01240"
"ko:K06695",""
"ko:K10586","ko04215"
"ko:K06693","ko05022"
"ko:K05868","ko05170"
"ko:K01493","ko01232"
"ko:K05838",""
"ko:K08846","ko05152"
"ko:K12957","ko01120"
"ko:K13055","ko04114"
"ko:K08712","ko02010"
"ko:K17408",""
"ko:K00671",""
"ko:K01586","ko01230"
"ko:K00588","ko01110"
"ko:K18757",""
"ko:K08343","ko05167"
"ko:K01173","ko04210"
"ko:K21767",""
"ko:K04948","ko04744"
"ko:K00061","ko01100"
"ko:K08176",""
"ko:K04951","ko04740"
"ko:K19414",""
"ko:K10914","ko05111"
"ko:K13337","ko04146"
"ko:K10289",""
"ko:K00568","ko01240"
"ko:K01908","ko01100"
"ko:K01304",""
"ko:K15437",""
"ko:K00001","ko01220"
"ko:K20417",""
"ko:K15302",""
"ko:K04533","ko05022"
"ko:K05679","ko05417"
"ko:K03539","ko03008"
"ko:K17769",""
"ko:K09780",""
"ko:K17094",""
"ko:K20182","ko05132"
"ko:K07478",""
"ko:K19502",""
"ko:K12409","ko01250"
"ko:K18045",""
"ko:K18467","ko04144"
"ko:K14557","ko03008"
"ko:K12824","ko04212"
"ko:K02031","ko02024"
"ko:K04818","ko04080"
"ko:K13420","ko04626"
"ko:K07901","ko05022"
"ko:K02696","ko01100"
"ko:K17973",""
"ko:K00753","ko01100"
"ko:K21444",""
"ko:K10447","ko04120"
"ko:K16531",""
"ko:K15503",""
"ko:K14555","ko03008"
"ko:K20292",""
"ko:K17253","ko04148"
"ko:K01692","ko01212"
"ko:K17751","ko05416"
"ko:K20098",""
"ko:K02513","ko00534"
"ko:K16606",""
"ko:K03357","ko05166"
"ko:K01679","ko05211"
"ko:K01517","ko01100"
"ko:K07573","ko03018"
"ko:K16811",""
"ko:K21988",""
"ko:K20359",""
"ko:K00276","ko01110"
"ko:K03447",""
"ko:K01178","ko01100"
"ko:K01990",""
"ko:K05758","ko05135"
"ko:K15042","ko05207"
"ko:K15282","ko05231"
"ko:K03737","ko01210"
"ko:K08731","ko05210"
"ko:K04706","ko05160"
"ko:K03125","ko03022"
"ko:K09396",""
"ko:K03609",""
"ko:K15423","ko04922"
"ko:K04679","ko04350"
"ko:K05661","ko02010"
"ko:K21863",""
"ko:K02331",""
"ko:K10573","ko04120"
"ko:K12403","ko04142"
"ko:K11540","ko01240"
"ko:K03833",""
"ko:K11830","ko05016"
"ko:K01488","ko05340"
"ko:K01750","ko01230"
"ko:K01790","ko01250"
"ko:K13026",""
"ko:K03023","ko04623"
"ko:K14844",""
"ko:K02265","ko05415"
"ko:K11793",""
"ko:K22277",""
"ko:K05759","ko05132"
"ko:K16461",""
"ko:K00027","ko02020"
"ko:K01206","ko04142"
"ko:K07566",""
"ko:K01555","ko01120"
"ko:K01193","ko01110"
"ko:K20547","ko04016"
"ko:K14566","ko03008"
"ko:K16891",""
"ko:K13102",""
"ko:K17981",""
"ko:K18065",""
"ko:K10268",""
"ko:K16892",""
"ko:K03509","ko03460"
"ko:K11984","ko03040"
"ko:K13627","ko04966"
"ko:K10402","ko04814"
"ko:K06698","ko05160"
"ko:K04468","ko04520"
"ko:K00219",""
"ko:K01580","ko04940"
"ko:K15730","ko05207"
"ko:K02705","ko01100"
"ko:K19526",""
"ko:K19656",""
"ko:K05129",""
"ko:K08805",""
"ko:K15333",""
"ko:K15306","ko05203"
"ko:K00099","ko01110"
"ko:K21773","ko04218"
"ko:K03579",""
"ko:K15698",""
"ko:K16777",""
"ko:K16342","ko05231"
"ko:K13220",""
"ko:K01114","ko04919"
"ko:K15789","ko01100"
"ko:K12585","ko03018"
"ko:K03455",""
"ko:K14445",""
"ko:K08051",""
"ko:K00651","ko01230"
"ko:K06685","ko04392"
"ko:K14475","ko05143"
"ko:K00135","ko01120"
"ko:K19881",""
"ko:K02607","ko04113"
"ko:K01841","ko01120"
"ko:K10325",""
"ko:K01634","ko04071"
"ko:K14308","ko05014"
"ko:K19685",""
"ko:K01406","ko01503"
"ko:K15112",""
"ko:K15340",""
"ko:K03500",""
"ko:K13294","ko01100"
"ko:K03439",""
"ko:K14841",""
"ko:K10589","ko04120"
"ko:K00803","ko04146"
"ko:K03995","ko05322"
"ko:K04004","ko05150"
"ko:K08245",""
"ko:K15027",""
"ko:K15176",""
"ko:K15633","ko01230"
"ko:K11085","ko02010"
"ko:K00033","ko01200"
"ko:K01020","ko00532"
"ko:K19219",""
"ko:K01016","ko01100"
"ko:K06020",""
"ko:K05673","ko04976"
"ko:K01938","ko01240"
"ko:K15279",""
"ko:K15446",""
"ko:K00211","ko01230"
"ko:K00416","ko05415"
"ko:K20880",""
"ko:K05928","ko01240"
"ko:K10858","ko03460"
"ko:K02576","ko01100"
"ko:K20029",""
"ko:K20160",""
"ko:K19044",""
"ko:K14429",""
"ko:K11788","ko01110"
"ko:K03022","ko04623"
"ko:K19828",""
"ko:K13649","ko04144"
"ko:K00922","ko05418"
"ko:K13199",""
"ko:K13983",""
"ko:K09517","ko04141"
"ko:K06997",""
"ko:K03707","ko01240"
"ko:K14799",""
"ko:K21768",""
"ko:K21358",""
"ko:K00325","ko01100"
"ko:K16889",""
"ko:K21876",""
"ko:K08730","ko01110"
"ko:K11826","ko05016"
"ko:K00288","ko01240"
"ko:K01995","ko02024"
"ko:K10867","ko04218"
"ko:K10772",""
"ko:K13984","ko04141"
"ko:K00825","ko01210"
"ko:K15104",""
"ko:K18247",""
"ko:K03861","ko01100"
"ko:K05636","ko05222"
"ko:K18278","ko01240"
"ko:K05284","ko01100"
"ko:K00801","ko01110"
"ko:K13449","ko04626"
"ko:K00079","ko05208"
"ko:K15711",""
"ko:K03978",""
"ko:K13175","ko03013"
"ko:K08513","ko04130"
"ko:K02945","ko03010"
"ko:K05662","ko02010"
"ko:K01620","ko01230"
"ko:K16457",""
"ko:K10158","ko01100"
"ko:K17907","ko04140"
"ko:K13023",""
"ko:K08835","ko04928"
"ko:K10389","ko05165"
"ko:K10751",""
"ko:K07766",""
"ko:K01962","ko01212"
"ko:K13110",""
"ko:K04649","ko04120"
"ko:K17632","ko04014"
"ko:K11290",""
"ko:K14819",""
"ko:K10088","ko04141"
"ko:K14640",""
"ko:K01078","ko01100"
"ko:K03332","ko00051"
"ko:K06990",""
"ko:K03868","ko05211"
"ko:K17260","ko05135"
"ko:K20793",""
"ko:K02708","ko01100"
"ko:K10330",""
"ko:K03969",""
"ko:K01676","ko01200"
"ko:K20121","ko05131"
"ko:K00612",""
"ko:K12828","ko03040"
"ko:K11423","ko01100"
"ko:K08910","ko01100"
"ko:K03514","ko03018"
"ko:K18764",""
"ko:K10846","ko03420"
"ko:K04642",""
"ko:K02867","ko03010"
"ko:K04920","ko04971"
"ko:K07972","ko04745"
"ko:K07432","ko01100"
"ko:K03354","ko05166"
"ko:K04712","ko04071"
"ko:K00613","ko01100"
"ko:K00556",""
"ko:K01012","ko01240"
"ko:K03667",""
"ko:K16746",""
"ko:K14539","ko03008"
"ko:K18482","ko01240"
"ko:K00324","ko01100"
"ko:K07760",""
"ko:K06175",""
"ko:K00683",""
"ko:K11494",""
"ko:K04784","ko01053"
"ko:K13711","ko04070"
"ko:K11166",""
"ko:K17603","ko05022"
"ko:K08150",""
"ko:K11479","ko04110"
"ko:K03665",""
"ko:K01520","ko01232"
"ko:K08873","ko03015"
"ko:K02431",""
"ko:K00078","ko01100"
"ko:K14427",""
"ko:K07071",""
"ko:K01100","ko01200"
"ko:K18998",""
"ko:K11723","ko05225"
"ko:K12375",""
"ko:K07246","ko01100"
"ko:K04351","ko04911"
"ko:K12951",""
"ko:K14832",""
"ko:K18826","ko01100"
"ko:K02214","ko04113"
"ko:K15616","ko05202"
"ko:K03190",""
"ko:K04372","ko04910"
"ko:K03505","ko03440"
"ko:K10875","ko03440"
"ko:K20638","ko04530"
"ko:K02965","ko03010"
"ko:K07565",""
"ko:K03506","ko03420"
"ko:K00074","ko01200"
"ko:K00854","ko01100"
"ko:K16801",""
"ko:K11975",""
"ko:K15025",""
"ko:K14663",""
"ko:K12172","ko05014"
"ko:K05717","ko05222"
"ko:K10641",""
"ko:K20093",""
"ko:K12820","ko03040"
"ko:K14474","ko05143"
"ko:K10899",""
"ko:K15620",""
"ko:K20523",""
"ko:K07253","ko01100"
"ko:K12896","ko05168"
"ko:K14996",""
"ko:K17500",""
"ko:K14548","ko03008"
"ko:K15113",""
"ko:K07271","ko00552"
"ko:K07195","ko05132"
"ko:K01186","ko04142"
"ko:K08830",""
"ko:K18207","ko01100"
"ko:K03256",""
"ko:K06233","ko04979"
"ko:K15103",""
"ko:K13751",""
"ko:K08826","ko04218"
"ko:K10583","ko04120"
"ko:K04681","ko05203"
"ko:K21949","ko01110"
"ko:K03386","ko04214"
"ko:K13186",""
"ko:K02656",""
"ko:K19365",""
"ko:K11729",""
"ko:K10588","ko04120"
"ko:K15622","ko05202"
"ko:K10630","ko05131"
"ko:K16781",""
"ko:K17780",""
"ko:K10865","ko04218"
"ko:K01080","ko05231"
"ko:K17422",""
"ko:K18166",""
"ko:K00558","ko05206"
"ko:K02445",""
"ko:K11585",""
"ko:K20164",""
"ko:K18953","ko04071"
"ko:K09660",""
"ko:K13107",""
"ko:K18160","ko04714"
"ko:K06688","ko04120"
"ko:K09704",""
"ko:K01129","ko01232"
"ko:K07819","ko01100"
"ko:K16491","ko04814"
"ko:K00414","ko05415"
"ko:K19382",""
"ko:K05989","ko01100"
"ko:K19363","ko04142"
"ko:K07004",""
"ko:K16890",""
"ko:K06874",""
"ko:K00787","ko05166"
"ko:K11858",""
"ko:K19204","ko01052"
"ko:K11229","ko04139"
"ko:K03657","ko03430"
"ko:K07964","ko05205"
"ko:K07394",""
"ko:K01307","ko01523"
"ko:K11850",""
"ko:K01257","ko04614"
"ko:K02202","ko04110"
"ko:K01907","ko01100"
"ko:K20044",""
"ko:K01133",""
"ko:K00248","ko01212"
"ko:K11366",""
"ko:K13508","ko01110"
"ko:K10693","ko04361"
"ko:K01739","ko01230"
"ko:K07178","ko03008"
"ko:K08351","ko01100"
"ko:K07152",""
"ko:K06927",""
"ko:K13613",""
"ko:K09874",""
"ko:K06890",""
"ko:K07508","ko01212"
"ko:K17402",""
"ko:K13211",""
"ko:K01202","ko04142"
"ko:K09550",""
"ko:K00261","ko04964"
"ko:K02887","ko03010"
"ko:K03634",""
"ko:K05756","ko05135"
"ko:K07944",""
"ko:K06030","ko05022"
"ko:K10249","ko01212"
"ko:K16185","ko05131"
"ko:K13103",""
"ko:K14549","ko03008"
"ko:K16190","ko01250"
"ko:K02160","ko01212"
"ko:K04482","ko05212"
"ko:K12739",""
"ko:K18168",""
"ko:K00430","ko01110"
"ko:K15292","ko04721"
"ko:K10685","ko04120"
"ko:K15118",""
"ko:K04799","ko03450"
"ko:K07052",""
"ko:K05387",""
"ko:K07024","ko01110"
"ko:K00771","ko01100"
"ko:K08796",""
"ko:K13250","ko04141"
"ko:K11973",""
"ko:K04996","ko04971"
"ko:K06959",""
"ko:K02177","ko04320"
"ko:K11424","ko05202"
"ko:K04552","ko05022"
"ko:K00791","ko01110"
"ko:K10896","ko03460"
"ko:K14731","ko01220"
"ko:K15501",""
"ko:K09518","ko04141"
"ko:K16489",""
"ko:K11419","ko01100"
"ko:K08254",""
"ko:K18787",""
"ko:K08855",""
"ko:K11848",""
"ko:K16473",""
"ko:K04037","ko01110"
"ko:K15671","ko01052"
"ko:K08502","ko04138"
"ko:K14807",""
"ko:K10848","ko03460"
"ko:K01213","ko01100"
"ko:K06134","ko01240"
"ko:K10435","ko05167"
"ko:K08744","ko01100"
"ko:K04417","ko04361"
"ko:K07735",""
"ko:K11857",""
"ko:K00456","ko01100"
"ko:K17306",""
"ko:K07386",""
"ko:K19202","ko05169"
"ko:K09208",""
"ko:K00231","ko01240"
"ko:K11433","ko01100"
"ko:K11883","ko03008"
"ko:K05749","ko05132"
"ko:K01419",""
"ko:K13609","ko01120"
"ko:K10845","ko03420"
"ko:K03136","ko05203"
"ko:K06196",""
"ko:K20409","ko04150"
"ko:K07870","ko04214"
"ko:K01109","ko04070"
"ko:K06989","ko01240"
"ko:K01277",""
"ko:K20718","ko04016"
"ko:K06941",""
"ko:K00166","ko01210"
"ko:K05306","ko01120"
"ko:K18134","ko00514"
"ko:K04989","ko04742"
"ko:K18914",""
"ko:K00908","ko05034"
"ko:K03593",""
"ko:K11135",""
"ko:K04868","ko05414"
"ko:K03017","ko05016"
"ko:K02178","ko04914"
"ko:K03349","ko05166"
"ko:K14296","ko05014"
"ko:K15032",""
"ko:K21734",""
"ko:K01132","ko04142"
"ko:K14769",""
"ko:K11412","ko01100"
"ko:K02723","ko01100"
"ko:K01693","ko01230"
"ko:K03040","ko03020"
"ko:K00380","ko01120"
"ko:K10900",""
"ko:K07955","ko05132"
